,points_range,deslen,price_range,variety,province
483,80-84,183,<10,Red Blend,Australia Other
484,80-84,213,20-29,Shiraz,Victoria
485,80-84,232,20-29,Shiraz,New South Wales
486,80-84,202,10-19,Pinot Noir,Australia Other
487,85-89,202,30-39,Riesling,Victoria
488,80-84,161,10-19,Sauvignon Blanc,South Australia
489,85-89,249,10-19,Chardonnay,South Australia
490,85-89,198,10-19,Chardonnay,Australia Other
491,85-89,159,10-19,Grenache,South Australia
492,85-89,217,<10,Shiraz,South Australia
493,90-94,336,40-49,Shiraz,South Australia
494,90-94,189,10-19,Shiraz,South Australia
495,85-89,304,10-19,Red Blend,South Australia
496,90-94,228,80-99,Shiraz,South Australia
497,85-89,348,20-29,Riesling,South Australia
498,85-89,198,10-19,Shiraz,Western Australia
499,90-94,275,50-59,Cabernet Sauvignon,South Australia
500,85-89,199,10-19,Rosé,Victoria
501,90-94,289,60-79,Syrah,South Australia
502,90-94,381,80-99,Shiraz,Victoria
503,90-94,251,30-39,Riesling,Victoria
504,90-94,277,30-39,Chardonnay,Western Australia
505,85-89,28,20-29,Sauvignon Blanc,New South Wales
506,90-94,239,10-19,Shiraz,South Australia
507,90-94,214,30-39,Shiraz,Victoria
508,95-99,341,100+,Syrah,South Australia
509,90-94,296,60-79,Shiraz,South Australia
510,85-89,249,10-19,Rosé,South Australia
511,85-89,288,10-19,Semillon-Sauvignon Blanc,South Australia
512,85-89,299,10-19,Shiraz-Viognier,Australia Other
513,85-89,189,<10,Chardonnay,Australia Other
514,85-89,206,20-29,Cabernet Sauvignon,South Australia
515,85-89,163,10-19,Shiraz-Viognier,South Australia
516,80-84,217,10-19,Red Blend,Victoria
517,90-94,316,20-29,Shiraz,South Australia
518,80-84,124,100+,Red Blend,Victoria
519,85-89,352,10-19,Red Blend,South Australia
520,90-94,253,30-39,Shiraz,South Australia
521,90-94,297,60-79,Syrah,South Australia
522,90-94,281,80-99,Shiraz,South Australia
523,90-94,375,60-79,Chardonnay,Western Australia
524,90-94,201,40-49,Sparkling Blend,Tasmania
525,85-89,224,10-19,Viognier,South Australia
526,85-89,236,20-29,Sparkling Blend,Western Australia
527,85-89,273,10-19,Sémillon,South Australia
528,80-84,147,20-29,Bordeaux-style Red Blend,Western Australia
529,90-94,161,60-79,Cabernet Sauvignon,South Australia
530,85-89,305,10-19,Chardonnay,Australia Other
531,85-89,281,10-19,Shiraz,Victoria
532,85-89,278,10-19,Red Blend,South Australia
533,90-94,414,60-79,Cabernet Sauvignon,South Australia
534,90-94,355,40-49,Cabernet Sauvignon,Western Australia
535,85-89,249,10-19,Rosé,South Australia
536,85-89,151,10-19,Chardonnay,Australia Other
537,85-89,178,10-19,Chardonnay,South Australia
538,85-89,284,30-39,Sémillon,New South Wales
539,90-94,245,10-19,Shiraz,South Australia
540,90-94,266,60-79,Riesling,Western Australia
541,90-94,237,10-19,Shiraz,Western Australia
542,90-94,267,40-49,Shiraz,South Australia
543,85-89,204,10-19,Cabernet Sauvignon,New South Wales
544,90-94,246,60-79,Grenache,South Australia
545,90-94,268,20-29,Riesling,South Australia
546,90-94,307,30-39,Chardonnay,South Australia
547,90-94,362,40-49,Chardonnay,South Australia
548,85-89,232,20-29,Chardonnay,New South Wales
549,85-89,317,100+,Chardonnay,South Australia
550,85-89,206,10-19,Chardonnay,New South Wales
551,85-89,208,10-19,Chardonnay,New South Wales
552,85-89,182,20-29,Chardonnay,New South Wales
553,90-94,276,100+,Shiraz,South Australia
554,90-94,216,30-39,Chardonnay,Western Australia
555,90-94,247,20-29,Grenache,South Australia
556,90-94,261,30-39,Grenache,South Australia
557,90-94,319,80-99,Shiraz,South Australia
558,90-94,264,80-99,Shiraz,South Australia
559,90-94,354,20-29,Marsanne,Victoria
560,90-94,243,30-39,Cabernet Sauvignon,Western Australia
561,85-89,294,10-19,Riesling,South Australia
562,85-89,267,10-19,Riesling,South Australia
563,85-89,251,40-49,Cabernet Sauvignon,South Australia
564,85-89,270,20-29,Shiraz-Viognier,Western Australia
565,85-89,297,20-29,Red Blend,Victoria
566,80-84,275,30-39,Shiraz,South Australia
567,90-94,219,20-29,Shiraz,South Australia
568,90-94,240,20-29,Shiraz,South Australia
569,85-89,288,20-29,Cabernet Sauvignon,South Australia
570,85-89,374,20-29,Shiraz,South Australia
571,85-89,261,60-79,Shiraz,South Australia
572,90-94,291,20-29,Bordeaux-style Red Blend,South Australia
573,90-94,381,40-49,Rhône-style Red Blend,South Australia
574,90-94,422,60-79,Shiraz,South Australia
575,90-94,347,40-49,Shiraz-Cabernet Sauvignon,South Australia
576,90-94,307,50-59,Cabernet Sauvignon,South Australia
577,85-89,291,30-39,Cabernet Sauvignon,South Australia
578,90-94,272,10-19,Riesling,South Australia
579,90-94,205,40-49,Grenache,South Australia
580,90-94,282,50-59,Cabernet Sauvignon,South Australia
581,85-89,217,<10,Shiraz,Australia Other
582,90-94,270,30-39,Red Blend,Western Australia
583,90-94,241,20-29,Riesling,South Australia
584,85-89,225,<10,Chardonnay,Australia Other
585,90-94,221,30-39,Chardonnay,Western Australia
586,80-84,172,10-19,White Blend,Victoria
587,80-84,95,10-19,Sangiovese,South Australia
588,90-94,244,40-49,Shiraz,South Australia
589,90-94,230,20-29,Sparkling Blend,Tasmania
590,85-89,259,20-29,Chardonnay,South Australia
591,85-89,182,20-29,Shiraz,South Australia
592,80-84,293,10-19,Sémillon,New South Wales
593,80-84,186,10-19,Shiraz,New South Wales
594,85-89,223,40-49,Riesling,South Australia
595,85-89,300,10-19,Riesling,South Australia
596,85-89,186,20-29,Riesling,South Australia
597,85-89,251,100+,Chardonnay,Australia Other
598,90-94,243,20-29,Chardonnay,Western Australia
599,90-94,241,60-79,Chardonnay,Western Australia
600,90-94,305,50-59,Cabernet Sauvignon,Western Australia
601,90-94,271,20-29,G-S-M,South Australia
602,85-89,236,10-19,Pinot Noir,Victoria
603,90-94,331,40-49,Chardonnay,Victoria
604,85-89,275,10-19,White Blend,South Australia
605,85-89,321,20-29,Red Blend,South Australia
606,85-89,191,10-19,Pinot Grigio,Victoria
607,85-89,381,10-19,Shiraz,South Australia
608,85-89,251,60-79,Shiraz,South Australia
609,90-94,327,40-49,Cabernet Sauvignon,Western Australia
610,85-89,155,10-19,Shiraz,Victoria
611,85-89,247,50-59,Shiraz,South Australia
612,85-89,245,20-29,Semillon-Sauvignon Blanc,Western Australia
613,90-94,291,30-39,Red Blend,South Australia
614,90-94,309,60-79,Cabernet Sauvignon,South Australia
615,90-94,370,60-79,Cabernet Blend,Victoria
616,90-94,351,100+,Cabernet Sauvignon,South Australia
617,90-94,236,20-29,Cabernet Sauvignon,Western Australia
618,90-94,377,60-79,Cabernet Sauvignon-Merlot,South Australia
619,85-89,241,10-19,Semillon-Sauvignon Blanc,South Australia
620,85-89,244,40-49,Pinot Noir,Victoria
621,90-94,268,20-29,Cabernet Sauvignon,Western Australia
622,90-94,269,30-39,Chardonnay,Victoria
623,90-94,264,10-19,G-S-M,South Australia
624,95-99,326,100+,Shiraz,South Australia
625,95-99,397,80-99,Shiraz,South Australia
626,95-99,411,80-99,Shiraz,South Australia
627,95-99,356,100+,Shiraz,South Australia
628,85-89,295,10-19,Red Blend,Victoria
629,90-94,202,30-39,Chardonnay,South Australia
630,85-89,305,10-19,Red Blend,South Australia
631,85-89,309,10-19,Pinot Noir,Victoria
632,85-89,298,30-39,Semillon-Sauvignon Blanc,Western Australia
633,90-94,238,20-29,Chardonnay,South Australia
634,90-94,169,50-59,Shiraz,South Australia
635,90-94,358,60-79,Cabernet Sauvignon,South Australia
636,90-94,226,60-79,Shiraz,South Australia
637,90-94,285,20-29,Shiraz,South Australia
638,90-94,323,60-79,Red Blend,South Australia
639,85-89,223,40-49,Pinot Noir,Victoria
640,85-89,109,10-19,Pinot Noir,Victoria
641,85-89,203,<10,Shiraz,Australia Other
642,90-94,249,30-39,Sauvignon Blanc-Semillon,Western Australia
643,90-94,412,30-39,Shiraz,Western Australia
644,85-89,261,30-39,Rhône-style White Blend,South Australia
645,85-89,217,20-29,Cabernet Sauvignon,South Australia
646,90-94,268,30-39,Pinot Noir,Tasmania
647,90-94,288,100+,Red Blend,Victoria
648,90-94,277,20-29,Shiraz-Roussanne,South Australia
649,90-94,217,20-29,Cabernet Sauvignon,South Australia
650,85-89,210,10-19,Shiraz-Cabernet Sauvignon,South Australia
651,90-94,321,20-29,Mourvèdre,South Australia
652,80-84,194,10-19,Cabernet Merlot,Australia Other
653,85-89,205,20-29,Chardonnay,New South Wales
654,85-89,210,10-19,Chardonnay,South Australia
655,85-89,229,10-19,Chardonnay,Western Australia
656,85-89,274,10-19,Cabernet Sauvignon,South Australia
657,85-89,201,60-79,Pinot Noir,South Australia
658,90-94,245,60-79,Shiraz,South Australia
659,90-94,269,60-79,Shiraz,South Australia
660,85-89,173,40-49,Grenache,Victoria
661,90-94,343,60-79,Chardonnay,South Australia
662,85-89,232,10-19,Shiraz,South Australia
663,90-94,355,30-39,Rhône-style Red Blend,South Australia
664,95-99,411,100+,Cabernet-Shiraz,South Australia
665,95-99,434,80-99,Red Blend,South Australia
666,90-94,298,80-99,Chardonnay,Western Australia
667,80-84,192,20-29,Pinot Noir,Western Australia
668,90-94,295,20-29,Chardonnay,South Australia
669,90-94,199,20-29,Chardonnay,Western Australia
670,85-89,186,10-19,Shiraz,South Australia
671,85-89,209,10-19,Shiraz,South Australia
672,85-89,266,30-39,Chardonnay,South Australia
673,85-89,172,20-29,Grenache,South Australia
674,85-89,175,40-49,Shiraz,South Australia
675,85-89,260,10-19,Shiraz,South Australia
676,85-89,301,30-39,Chardonnay,Western Australia
677,85-89,205,40-49,Shiraz,South Australia
678,85-89,253,20-29,Cabernet Sauvignon,South Australia
679,85-89,228,10-19,Shiraz-Cabernet Sauvignon,Australia Other
680,90-94,248,50-59,Shiraz,South Australia
681,80-84,139,10-19,Sparkling Blend,Australia Other
682,80-84,114,10-19,Chardonnay,South Australia
683,85-89,343,10-19,Shiraz-Cabernet Sauvignon,South Australia
684,90-94,254,60-79,Cabernet Sauvignon,Western Australia
685,90-94,350,10-19,Cabernet Sauvignon,South Australia
686,90-94,301,10-19,Shiraz,New South Wales
687,90-94,320,60-79,Shiraz,South Australia
688,90-94,225,20-29,Shiraz,South Australia
689,90-94,200,20-29,Grenache,South Australia
690,85-89,353,30-39,Pinot Noir,Victoria
691,85-89,332,30-39,Bordeaux-style Red Blend,Victoria
692,90-94,277,60-79,Mataro,South Australia
693,90-94,315,60-79,Shiraz,South Australia
694,90-94,262,30-39,Chardonnay,South Australia
695,85-89,414,100+,Bordeaux-style Red Blend,Victoria
696,80-84,147,10-19,Shiraz-Cabernet Sauvignon,Australia Other
697,90-94,240,80-99,Shiraz,South Australia
698,90-94,348,60-79,Cabernet Sauvignon,South Australia
699,90-94,251,40-49,Chardonnay,Victoria
700,85-89,300,50-59,Shiraz,South Australia
701,90-94,295,40-49,Cabernet Sauvignon,South Australia
702,85-89,165,80-99,Shiraz,South Australia
703,90-94,344,60-79,Pinot Noir,Tasmania
704,90-94,278,20-29,Pinot Noir,South Australia
705,85-89,191,10-19,Shiraz,New South Wales
706,90-94,323,20-29,Rosé,South Australia
707,85-89,249,30-39,Champagne Blend,Tasmania
708,85-89,231,20-29,Grenache,South Australia
709,90-94,232,60-79,Grenache,South Australia
710,90-94,277,80-99,Shiraz,South Australia
711,90-94,159,60-79,Shiraz,South Australia
712,90-94,205,50-59,Syrah,Victoria
713,90-94,274,60-79,Chardonnay,Victoria
714,85-89,296,10-19,Rhône-style Red Blend,South Australia
715,85-89,126,20-29,Chardonnay,South Australia
716,85-89,160,20-29,Cabernet Sauvignon,South Australia
717,85-89,231,20-29,Rhône-style Red Blend,South Australia
718,85-89,232,10-19,Chardonnay,South Australia
719,85-89,217,10-19,Chardonnay,Australia Other
720,85-89,243,10-19,Pinot Noir,South Australia
721,85-89,202,10-19,Sauvignon Blanc,South Australia
722,85-89,289,10-19,Shiraz,Australia Other
723,85-89,248,20-29,Shiraz,South Australia
724,85-89,235,10-19,Cabernet Sauvignon,Western Australia
725,90-94,276,50-59,Bordeaux-style Red Blend,South Australia
726,90-94,354,20-29,Cabernet Blend,South Australia
727,90-94,301,100+,Cabernet Sauvignon,South Australia
728,85-89,261,50-59,Bordeaux-style Red Blend,Western Australia
729,90-94,362,20-29,Riesling,South Australia
730,85-89,176,20-29,Shiraz,South Australia
731,90-94,218,10-19,Grenache,South Australia
732,90-94,281,100+,Bordeaux-style Red Blend,Western Australia
733,85-89,271,20-29,Cabernet Sauvignon,South Australia
734,85-89,293,10-19,Cabernet Sauvignon,South Australia
735,85-89,288,30-39,Cabernet Sauvignon,South Australia
736,85-89,304,100+,Bordeaux-style Red Blend,Victoria
737,85-89,250,10-19,Sauvignon Blanc,South Australia
738,85-89,230,30-39,Rhône-style White Blend,South Australia
739,85-89,233,10-19,Pinot Noir,Western Australia
740,85-89,174,10-19,Sparkling Blend,New South Wales
741,90-94,351,60-79,Shiraz,South Australia
742,90-94,338,50-59,Cabernet Sauvignon,South Australia
743,85-89,135,60-79,Grenache,South Australia
744,95-99,322,80-99,Tokay,Victoria
745,95-99,342,100+,Muscat,Victoria
746,90-94,416,80-99,Muscat,Victoria
747,90-94,180,20-29,Shiraz,South Australia
748,85-89,169,20-29,Pinot Noir,Western Australia
749,85-89,227,30-39,Pinot Noir,South Australia
750,85-89,238,10-19,Riesling,South Australia
751,85-89,210,30-39,Shiraz,Victoria
752,85-89,213,10-19,Shiraz,Australia Other
753,90-94,247,60-79,Cabernet Sauvignon,South Australia
754,90-94,342,50-59,Cabernet Sauvignon,South Australia
755,90-94,234,50-59,Shiraz,South Australia
756,85-89,176,10-19,Sparkling Blend,Australia Other
757,90-94,277,100+,Shiraz,South Australia
758,90-94,261,30-39,Grenache,South Australia
759,90-94,319,80-99,Shiraz,South Australia
760,90-94,264,80-99,Shiraz,South Australia
761,85-89,192,40-49,Chardonnay,Victoria
762,85-89,334,20-29,Syrah,South Australia
763,85-89,196,20-29,Viognier,South Australia
764,85-89,259,30-39,Shiraz,South Australia
765,85-89,189,20-29,Shiraz,South Australia
766,85-89,232,20-29,Shiraz,Victoria
767,85-89,307,20-29,Shiraz,South Australia
768,85-89,219,10-19,Sauvignon Blanc-Semillon,Western Australia
769,85-89,235,10-19,Cabernet Sauvignon,Western Australia
770,85-89,202,30-39,Riesling,Victoria
771,90-94,306,40-49,Cabernet Sauvignon,South Australia
772,90-94,279,20-29,Shiraz,Victoria
773,90-94,201,30-39,Chardonnay,Victoria
774,85-89,276,10-19,Viognier,Western Australia
775,85-89,354,30-39,Pinot Grigio,South Australia
776,90-94,269,80-99,Grenache,South Australia
777,90-94,247,10-19,Shiraz-Grenache,South Australia
778,85-89,195,20-29,Cabernet Sauvignon,South Australia
779,85-89,198,10-19,Shiraz,South Australia
780,85-89,264,10-19,Merlot,South Australia
781,90-94,260,20-29,Chardonnay,Western Australia
782,85-89,219,20-29,Sparkling Blend,Tasmania
783,90-94,317,60-79,Shiraz,South Australia
784,90-94,266,30-39,Shiraz,South Australia
785,85-89,311,60-79,Pinot Noir,Tasmania
786,85-89,316,10-19,Shiraz,Western Australia
787,85-89,268,20-29,Sauvignon Blanc,South Australia
788,85-89,290,20-29,Zinfandel,South Australia
789,90-94,266,20-29,Cabernet Sauvignon-Shiraz,Victoria
790,85-89,213,10-19,Viognier-Marsanne,South Australia
791,85-89,242,30-39,Cabernet Sauvignon,South Australia
792,85-89,202,30-39,Shiraz,South Australia
793,85-89,223,20-29,Shiraz,South Australia
794,85-89,307,20-29,Sauvignon Blanc-Semillon,Western Australia
795,90-94,429,100+,Shiraz,Victoria
796,80-84,191,10-19,Moscato,Australia Other
797,80-84,275,10-19,White Blend,South Australia
798,80-84,221,10-19,Rosé,South Australia
799,80-84,140,<10,Pinot Grigio,Australia Other
800,85-89,227,30-39,Pinot Noir,Victoria
801,85-89,129,10-19,Pinot Grigio,Victoria
802,85-89,144,60-79,Grenache,South Australia
803,85-89,213,30-39,Shiraz,South Australia
804,90-94,157,80-99,Shiraz,South Australia
805,90-94,203,10-19,Chardonnay,Western Australia
806,90-94,238,30-39,Chardonnay,Western Australia
807,90-94,380,100+,Bordeaux-style Red Blend,Western Australia
808,90-94,219,60-79,Shiraz,South Australia
809,90-94,344,100+,Bordeaux-style Red Blend,Western Australia
810,90-94,286,40-49,Pinot Noir,Victoria
811,90-94,233,10-19,Chardonnay,South Australia
812,90-94,208,10-19,Riesling,South Australia
813,90-94,298,10-19,Cabernet Sauvignon,South Australia
814,90-94,252,20-29,Cabernet Sauvignon,Western Australia
815,85-89,265,20-29,Shiraz,South Australia
816,90-94,313,60-79,Shiraz,South Australia
817,90-94,321,20-29,Riesling,South Australia
818,90-94,271,40-49,Viognier,South Australia
819,85-89,237,10-19,Savagnin,South Australia
820,85-89,214,100+,Mataro,South Australia
821,85-89,207,10-19,Verdelho,South Australia
822,85-89,259,20-29,Chardonnay,South Australia
823,85-89,267,60-79,Shiraz,Victoria
824,90-94,240,20-29,Grenache,South Australia
825,90-94,270,40-49,Grenache,South Australia
826,85-89,404,100+,Grenache,South Australia
827,85-89,292,20-29,Marsanne,Victoria
828,90-94,314,100+,Shiraz,South Australia
829,90-94,276,30-39,Shiraz,South Australia
830,90-94,276,30-39,Shiraz,South Australia
831,90-94,305,60-79,Shiraz,South Australia
832,90-94,412,100+,Shiraz,New South Wales
833,90-94,289,80-99,Shiraz,Victoria
834,90-94,260,40-49,Shiraz,South Australia
835,90-94,330,20-29,Chardonnay,Western Australia
836,85-89,163,10-19,Chardonnay,Western Australia
837,85-89,205,30-39,Chardonnay,Victoria
838,85-89,299,10-19,Shiraz,South Australia
839,95-99,443,80-99,Shiraz,Victoria
840,85-89,412,20-29,Bordeaux-style Red Blend,South Australia
841,90-94,313,40-49,Sémillon,New South Wales
842,90-94,313,100+,Cabernet Sauvignon,South Australia
843,90-94,270,20-29,Shiraz,Western Australia
844,85-89,275,20-29,Shiraz,South Australia
845,95-99,455,100+,Shiraz,South Australia
846,95-99,409,100+,Shiraz,South Australia
847,95-99,414,100+,Shiraz-Viognier,South Australia
848,95-99,354,100+,Shiraz,South Australia
849,95-99,373,100+,Shiraz,South Australia
850,95-99,293,100+,Shiraz,South Australia
851,90-94,227,10-19,Riesling,South Australia
852,90-94,370,20-29,Pinot Noir,South Australia
853,90-94,202,30-39,Shiraz,Victoria
854,85-89,286,20-29,Grenache,South Australia
855,90-94,248,20-29,Shiraz,Western Australia
856,90-94,179,10-19,Shiraz,South Australia
857,90-94,341,30-39,Grenache,South Australia
858,90-94,256,40-49,Riesling,Western Australia
859,90-94,366,40-49,Shiraz,South Australia
860,80-84,293,10-19,Sémillon,New South Wales
861,90-94,380,80-99,Chardonnay,Western Australia
862,90-94,212,30-39,Riesling,Western Australia
863,90-94,291,40-49,Sparkling Blend,Tasmania
864,90-94,280,20-29,Shiraz,South Australia
865,90-94,259,20-29,Shiraz,South Australia
866,90-94,228,40-49,Shiraz,South Australia
867,90-94,222,20-29,Shiraz,Western Australia
868,90-94,269,60-79,Shiraz,South Australia
869,90-94,308,50-59,Shiraz,South Australia
870,85-89,298,10-19,White Blend,South Australia
871,90-94,251,30-39,Shiraz,South Australia
872,90-94,243,60-79,Cabernet Sauvignon,South Australia
873,90-94,347,80-99,Mourvèdre,South Australia
874,90-94,299,40-49,Riesling,South Australia
875,90-94,358,50-59,Grenache,South Australia
876,85-89,284,20-29,Shiraz,Victoria
877,85-89,243,10-19,Red Blend,Australia Other
878,85-89,249,50-59,Bordeaux-style Red Blend,South Australia
879,85-89,266,10-19,Shiraz,South Australia
880,80-84,88,10-19,Chardonnay,South Australia
881,85-89,266,10-19,Chardonnay,Victoria
882,90-94,264,60-79,Shiraz,Victoria
883,85-89,148,20-29,Riesling,South Australia
884,90-94,234,50-59,Shiraz,South Australia
885,90-94,272,20-29,Shiraz,South Australia
886,90-94,291,20-29,Red Blend,South Australia
887,90-94,224,60-79,Shiraz,South Australia
888,90-94,179,30-39,Chardonnay,New South Wales
889,90-94,207,10-19,Shiraz,Australia Other
890,90-94,398,30-39,Shiraz,South Australia
891,85-89,267,10-19,Viognier,South Australia
892,85-89,306,80-99,Grenache,South Australia
893,85-89,281,10-19,Grenache,South Australia
894,85-89,319,60-79,Grenache,South Australia
895,85-89,272,30-39,Cabernet Sauvignon,South Australia
896,90-94,274,60-79,Shiraz,South Australia
897,90-94,238,20-29,Chardonnay,South Australia
898,80-84,178,10-19,Pinot Noir,Australia Other
899,80-84,179,20-29,Shiraz,South Australia
900,80-84,274,20-29,Red Blend,South Australia
901,90-94,238,30-39,Shiraz-Viognier,Victoria
902,90-94,294,50-59,Shiraz,South Australia
903,90-94,250,100+,Shiraz,South Australia
904,90-94,268,30-39,Shiraz,South Australia
905,85-89,236,10-19,Red Blend,South Australia
906,85-89,302,10-19,Shiraz,South Australia
907,90-94,262,30-39,Muscat,Victoria
908,90-94,190,100+,Muscat,Victoria
909,85-89,253,30-39,Grenache,South Australia
910,85-89,253,30-39,Grenache,South Australia
911,85-89,269,30-39,Shiraz,South Australia
912,90-94,259,30-39,Shiraz,South Australia
913,85-89,322,10-19,Shiraz-Grenache,South Australia
914,85-89,325,60-79,Grenache,South Australia
915,85-89,298,10-19,Cabernet Sauvignon,South Australia
916,85-89,294,10-19,Sauvignon Blanc,South Australia
917,90-94,207,20-29,Shiraz,South Australia
918,90-94,238,10-19,Shiraz,South Australia
919,85-89,163,20-29,Shiraz,South Australia
920,95-99,340,100+,Shiraz,South Australia
921,85-89,256,10-19,Merlot,Australia Other
922,85-89,223,60-79,Shiraz,South Australia
923,90-94,204,40-49,G-S-M,South Australia
924,90-94,281,30-39,Shiraz,South Australia
925,85-89,204,20-29,Chardonnay,Victoria
926,85-89,230,<10,Chardonnay,Australia Other
927,85-89,248,30-39,Chardonnay,Western Australia
928,85-89,317,30-39,Chardonnay,South Australia
929,85-89,265,20-29,Chardonnay,South Australia
930,90-94,252,30-39,Riesling,South Australia
931,90-94,294,10-19,Cabernet Sauvignon,South Australia
932,85-89,295,10-19,Shiraz,South Australia
933,85-89,196,20-29,Shiraz,South Australia
934,85-89,276,10-19,Riesling,South Australia
935,95-99,375,100+,Shiraz,South Australia
936,95-99,311,100+,Shiraz,South Australia
937,90-94,276,10-19,Shiraz,Western Australia
938,90-94,224,30-39,Shiraz,South Australia
939,90-94,260,40-49,Shiraz,South Australia
940,90-94,339,40-49,Shiraz,South Australia
941,90-94,264,50-59,Shiraz,South Australia
942,90-94,367,20-29,Shiraz,New South Wales
943,85-89,302,100+,Red Blend,Victoria
944,85-89,315,10-19,Shiraz,South Australia
945,85-89,307,60-79,Red Blend,Victoria
946,90-94,322,60-79,Grenache,South Australia
947,90-94,312,100+,Shiraz,South Australia
948,90-94,345,50-59,Shiraz,South Australia
949,90-94,422,80-99,Shiraz,South Australia
950,90-94,242,30-39,Sémillon,New South Wales
951,85-89,403,30-39,Bordeaux-style Red Blend,Western Australia
952,85-89,244,10-19,Chardonnay,South Australia
953,90-94,364,60-79,Shiraz,South Australia
954,90-94,339,30-39,Shiraz,South Australia
955,85-89,248,20-29,Shiraz,New South Wales
956,85-89,304,10-19,Red Blend,South Australia
957,90-94,336,30-39,Chardonnay,Australia Other
958,90-94,340,60-79,Chardonnay,South Australia
959,85-89,240,10-19,Riesling,South Australia
960,85-89,265,10-19,Viognier,South Australia
961,85-89,262,10-19,Rhône-style White Blend,South Australia
962,85-89,179,<10,Moscato,New South Wales
963,90-94,359,80-99,Sparkling Blend,Tasmania
964,85-89,188,10-19,Chardonnay,New South Wales
965,85-89,242,10-19,Chardonnay,New South Wales
966,85-89,215,10-19,Chardonnay,South Australia
967,85-89,233,10-19,Chardonnay,South Australia
968,85-89,151,10-19,Chardonnay,South Australia
969,85-89,193,<10,Chardonnay,Australia Other
970,85-89,260,10-19,Chardonnay,Australia Other
